Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.3081E-17,0.068992,-0.017818,0,0,0,14.174,1.0794,-1.3672E-16,-2.2741E-16,1.7141,-1.0675E-18,0.67037,0,0,0,0,0,0,package://kobe_description/meshes/base_link.STL,0.5,0.5,0,1,0,0,0,0,0,0,package://kobe_description/meshes/base_link.STL,grey,drive_train-1;transmission-1;transmission-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_driving_left_front,0.015,-1.3878E-17,-6.9389E-17,0,0,0,0.31872,0.0011432,7.9364E-21,-1.5373E-20,0.00059549,4.2013E-19,0.00059549,0,0,0,0,0,0,package://kobe_description/meshes/wheel_driving_left_front.STL,1,1,0,1,0,0,0,0,0,0,package://kobe_description/meshes/wheel_driving_left_front.STL,yellow,drive_wheel-1,Origin_base_to_driving_left_front,Axis_base_to_driving_left_front,base_to_driving_left_front,continuous,0.305,-0.08,0.05,1.4878,0,0,base_link,1,0,0,,,,,,,,,,,,
wheel_driving_left_rear,0.015,-1.3878E-17,-9.7145E-17,0,0,0,0.31872,0.0011432,-1.078E-20,-1.7091E-20,0.00059549,4.6079E-19,0.00059549,0,0,0,0,0,0,package://kobe_description/meshes/wheel_driving_left_rear.STL,1,1,0,1,0,0,0,0,0,0,package://kobe_description/meshes/wheel_driving_left_rear.STL,,drive_wheel-2,Origin_base_to_driving_left_rear,Axis_base_to_driving_left_rear,base_to_driving_left_rear,continuous,0.305,0.08,0.05,1.4717,0,0,base_link,1,0,0,,,,,,,,,,,,
wheel_omni_left_front,0.01,-1.3878E-17,5.5511E-17,0,0,0,0.16647,0.00020955,-1.1335E-21,-2.0281E-21,0.00010806,2.4564E-19,0.00010806,0,0,0,0,0,0,package://kobe_description/meshes/wheel_omni_left_front.STL,1,1,0,1,0,0,0,0,0,0,package://kobe_description/meshes/wheel_omni_left_front.STL,,omni_wheel-1,Origin_base_to_omni_left_front,Axis_base_to_omni_left_front,base_to_omni_left_front,continuous,0.31,-0.28,0.05,-1.80717384664334,0,0,base_link,1,0,0,,,,,,,,,,,,
wheel_omni_left_rear,0.01,-2.0817E-17,-5.5511E-17,0,0,0,0.16647,0.00020955,-2.9404E-21,3.6485E-22,0.00010806,1.8254E-19,0.00010806,0,0,0,0,0,0,package://kobe_description/meshes/wheel_omni_left_rear.STL,1,1,0,1,0,0,0,0,0,0,package://kobe_description/meshes/wheel_omni_left_rear.STL,,omni_wheel-2,Origin_base_to_omni_left_rear,Axis_base_to_omni_left_rear,base_to_omni_left_rear,continuous,0.31,0.28,0.05,1.5287,0,0,base_link,1,0,0,,,,,,,,,,,,
wheel_omni_right_rear,-0.01,-2.0817E-17,-5.5511E-17,0,0,0,0.16647,0.00020955,-2.9607E-21,3.6588E-22,0.00010806,1.8338E-19,0.00010806,0,0,0,0,0,0,package://kobe_description/meshes/wheel_omni_right_rear.STL,1,1,0,1,0,0,0,0,0,0,package://kobe_description/meshes/wheel_omni_right_rear.STL,,omni_wheel-3,Origin_base_to_omni_right_rear,Axis_base_to_omni_right_rear,base_to_omni_right_rear,continuous,-0.31,0.28,0.05,1.52874321011531,0,0,base_link,1,0,0,,,,,,,,,,,,
wheel_omni_right_front,-0.01,3.4694E-18,-1.1102E-16,0,0,0,0.16647,0.00020955,2.7889E-21,9.4821E-22,0.00010806,2.3717E-19,0.00010806,0,0,0,0,0,0,package://kobe_description/meshes/wheel_omni_right_front.STL,1,1,0,1,0,0,0,0,0,0,package://kobe_description/meshes/wheel_omni_right_front.STL,,omni_wheel-4,Origin_base_to_omni_right_front,Axis_base_to_omni_right_front,base_to_omni_right_front,continuous,-0.31,-0.28,0.05,1.4883,0,0,base_link,1,0,0,,,,,,,,,,,,
wheel_driving_right_rear,-0.015,-2.0817E-17,-8.3267E-17,0,0,0,0.31872,0.0011432,-3.696E-21,-7.3112E-21,0.00059549,5.5227E-19,0.00059549,0,0,0,0,0,0,package://kobe_description/meshes/wheel_driving_right_rear.STL,1,1,0,1,0,0,0,0,0,0,package://kobe_description/meshes/wheel_driving_right_rear.STL,,drive_wheel-3,Origin_base_to_driving_right_rear,Axis_base_to_driving_right_rear,base_to_driving_right_rear,continuous,-0.305,0.08,0.05,1.6008,0,0,base_link,1,0,0,,,,,,,,,,,,
wheel_driving_right_front,-0.015,-2.7756E-17,-6.9389E-17,0,0,0,0.31872,0.0011432,7.6653E-21,-1.926E-20,0.00059549,5.1067E-19,0.00059549,0,0,0,0,0,0,package://kobe_description/meshes/wheel_driving_right_front.STL,1,1,0,1,0,0,0,0,0,0,package://kobe_description/meshes/wheel_driving_right_front.STL,,drive_wheel-4,Origin_base_to_driving_right_front,Axis_base_to_driving_right_front,base_to_driving_right_front,continuous,-0.305,-0.08,0.05,1.5707963267949,0,0,base_link,1,0,0,,,,,,,,,,,,
main_body,-1.3674E-16,0.15352,-0.018747,0,0,0,31.581,1.9294,2.5593E-16,8.7361E-16,3.8265,0.051945,2.5066,0,0,0,0,0,0,package://kobe_description/meshes/main_body.STL,0,1,0.93333,1,0,0,0,0,0,0,package://kobe_description/meshes/main_body.STL,cyan,main_body-1,Origin_base_to_main_body,,base_to_main_body,fixed,0,0.03,0.128,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
intake,6.455E-17,-0.070103,0.25029,0,0,0,4.2998,0.054455,2.3764E-19,6.4155E-20,0.12782,0.012309,0.084195,0,0,0,0,0,0,package://kobe_description/meshes/intake.STL,0,1,0,1,0,0,0,0,0,0,package://kobe_description/meshes/intake.STL,green,intake-1,Origin_main_body_to_intake,Axis_main_body_to_intake,main_body_to_intake,prismatic,0,0.25486,0.06829,0,0,0,main_body,0,0.25882,-0.96593,0,0,-0.28,0,,,,,,,,
turret,-3.0904E-15,0.10441,0.026583,0,0,0,3.739,0.041981,-7.6165E-18,6.8847E-18,0.052657,0.0071238,0.037909,0,0,0,0,0,0,package://kobe_description/meshes/turret.STL,1,0,1,1,0,0,0,0,0,0,package://kobe_description/meshes/turret.STL,magenta,turret-2,Origin_main_body_to_turret,Axis_main_body_to_turret,main_body_to_turret,continuous,0,0.28,-0.17,0,0.022765,0,main_body,0,1,0,,,,,,,,,,,,
